1.Basin.Name;2.Country;3.Ecoregion;4.Endorheic.Status;5.Outlet.Longitude;6.Outlet.Latitude;7.Median.Longitude;8.Median.Latitude;9.Surface.Area
Tuchon.chon;South Korea;Palearctic;;129.4204648;36.98383178;129.320148;37.0268986;125.7343083
Hadachon;South Korea;Palearctic;;129.4618951;36.79610344;129.4164018;36.79016728;97.44448245
Yonghae.gang;South Korea;Palearctic;;129.4353607;36.5543077;129.3077607;36.58307485;238.1641999
Chukto.san;South Korea;Palearctic;;129.4473983;36.49329255;129.393363;36.46801467;105.2360352
Paebong.ni;South Korea;Palearctic;;128.417796;38.54277841;128.3803703;38.53012094;108.0688355
Chonggye.josuji;South Korea;Palearctic;;129.3859969;36.18543122;129.3252466;36.19221254;89.11373264
Chogok.chon;South Korea;Palearctic;;129.4099227;36.13361237;129.2967761;36.12990156;161.2199525
Daisho.Sen;South Korea;Palearctic;;129.496115;35.73983346;129.4129731;35.80020721;117.895917
Oehwang.gang;South Korea;Palearctic;;129.3664364;35.42845459;129.3182507;35.48569349;117.043287
Nansen.sui;South Korea;Palearctic;;128.6181747;35.1848819;128.6673543;35.21978978;116.2591023
Sonaktong.gang;South Korea;Palearctic;;128.9164277;35.10323313;128.8703698;35.2174918;223.1907356
Saju.chon;South Korea;Palearctic;;128.0695907;35.08246491;128.1389047;35.05487277;183.4039764
Nongmyong.soryuji;South Korea;Palearctic;;128.4145904;35.02546398;128.355089;35.03933113;195.5265304
Suo.chon;South Korea;Palearctic;;127.7172586;34.95631259;127.6842254;35.02640687;119.445002
Dong.Cheon;South Korea;Palearctic;;127.5918075;34.94641755;127.5904165;35.02891371;178.0325353
Chunggwang.je;South Korea;Palearctic;;127.3656112;34.82404206;127.313364;34.86896447;117.4076878
Wolp.yong;South Korea;Palearctic;;127.1505864;34.69108779;127.1612204;34.7570994;58.89001247
Kobang.chon;South Korea;Palearctic;;126.201804;34.496529;126.2194552;34.4453989;106.6661708
Kungok.chosuji;South Korea;Palearctic;;126.5167584;34.40968562;126.566845;34.44211987;107.1517379
Sampo.chon;South Korea;Palearctic;;126.5678817;34.90143464;126.6386859;34.91353825;111.196955
Chogam.je;South Korea;Palearctic;;126.6046779;34.82387115;126.6828257;34.81468597;158.2542377
Kamdun.josuji;South Korea;Palearctic;;126.4831699;34.81225185;126.4665397;34.85266424;172.3890689
Kilsan.chon;South Korea;Palearctic;;126.76519;36.02589654;126.7460265;36.11092464;111.8210579
Okku.josuji;South Korea;Palearctic;;126.66566;35.90424225;126.644744;35.91324218;41.24798517
Sinpyong.chon;South Korea;Palearctic;;126.7973739;35.86286042;126.8110037;35.83542251;158.8819854
Chongho.josuji;South Korea;Palearctic;;126.6648239;35.7364353;126.6695212;35.70960027;109.1359908
Kobu.chon;South Korea;Palearctic;;126.7822372;35.76026032;126.7498332;35.60517581;238.5705925
Krishna;India;Indo-Malay;;80.78544923;15.86962669;76.49343254;16.47686559;257868.4732
Kuantan;Malaysia;Indo-Malay;;103.3453152;3.777166477;103.1094143;3.894243325;1637.580833
Kuiburi;Thailand;Indo-Malay;;99.92125339;12.03702192;99.69114605;12.11127175;659.9979241
Kuji.Ibaraki;Japan;Palearctic;;140.619537;36.483815;140.4273234;36.77270372;1481.586323
Kuji.Iwate;Japan;Palearctic;;141.808685;40.195351;141.6331606;40.13027641;470.8924528
Kum;South Korea;Palearctic;;126.79202;36.04337972;127.4072252;36.32323862;9779.060689
